name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction
Escola Eleva Brasilia,"SGAS II SGAS 614 - Asa Sul, Brasília - DF, 70200-740",escolaeleva.com.br,(61) 3521-5334,,,No,No,No,,,None Found
Colégio Ursa Maior,"C - EQS 216/416 - Asa Sul, Brasília - DF, 70295-400",colegioursamaior.com.br,(61) 99396-1363,,,No,No,No,,,None Found
Galois - Brasília,"SGAS II SGAS 601 Lote 02 - Asa Sul, Brasília - DF, 70200-610",galois.com.br,(61) 3252-2000,,,No,No,No,,,None Found
Colégio Mackenzie Brasilia,"Chác. 74 a 79, SHIS Ql 05, Brasília - DF, 71600-500",colegio.mackenzie.br,(61) 2106-9000,,,No,No,No,,,None Found
Escola Salesiana Brasília,"SEPS 702 Bloco C - Plano Piloto, Brasília - DF, 70330-730",escolasalesianabrasilia.com.br,(61) 2195-2650,,,No,No,No,,,None Found
Colégio Marista Asa Sul (Maristão) - Ensino Médio,"SGAS II SGAS 615 Mod C - Plano Piloto, Brasília - DF, 70200-750",colegiosmaristas.com.br,(61) 3445-6900,,,No,No,No,,,None Found
Colégio Little Kids,"St. de Clubes Esportivos Sul Trecho 1 lote 7 - Asa Sul, Brasília - DF, 70200-001",linktr.ee,(61) 98455-9444,,,No,No,No,,Abre ter. às 07:30 Outros horários ,None Found
Colégio Cor Jesu,"SGAS II Quadra 615 BL G - Asa Sul, Brasília - DF, 70200-750",matriculas.corjesu.org.br,(61) 2105-6800,,,No,No,No,,,None Found
Colégio Seriös,"SGAS 902 Lote 75, Brasília - DF, 70390-020",,(61) 2029-5887,,,No,No,No,,,None Found
Escola Viraventos,"Asa Sul SQS 204 - Plano Piloto, Brasília - DF, 70238-160",viraventos.com.br,(61) 3246-1380,,,No,No,No,,,None Found
Escola Franciscana Nossa Senhora de Fátima,"SGAS I St. de Grandes Áreas Sul 906 Conjunto F - Asa Sul, Brasília - DF, 70390-060",educacaofatima.com.br,(61) 3442-8650,,,No,No,No,,,None Found
Colégio Nossa Senhora da Piedade,"St. de Habitações Individuais Sul QI 5 Fica na lateral não na via. Enfrente a entrada do Espaço Saúde Stadium - Lago Sul, Brasília - DF, 71600-520",,(61) 3248-1520,,,No,No,No,,,None Found
Colégio Nossa Senhora Aparecida,"QR 218 Lote E - Santa Maria, Brasília - DF, 72548-225",cnsadf.com.br,(61) 3395-1952,,,No,No,No,,,None Found
The British School of Brasilia (BSB) | Escola Britânica de Brasília (BSB),"St. de Habitações Individuais Sul EQI 7/9 Conjunto 17 LOTE F - Lago Sul, Brasília - DF, 71615-370",britishschoolbrasilia.org,(61) 98277-0054,,,No,No,No,,,None Found
Blue School,"SIND QI 1 Lote 100/140 - Gama Leste, Brasília - DF, 72450-010",blueschool.com.br,(61) 4501-5449,,,No,No,No,,,None Found
Colégio Madre Carmen Sallés,"Setor de Grandes Áreas Norte 604 - Asa Norte, Brasília - DF, 70830-154",carmensalles.com.br,(61) 3223-2863,,,No,No,No,,,None Found
Colégio Santa Dorotéia de Brasília,"SGAN 911 - Asa Norte, Brasília - DF, 70790-110",santadoroteiadf.com.br,(61) 3048-8051,,,No,No,No,,,None Found
Colégio Olimpo,"R. 7 Sul, 4 - Lote 4 - Águas Claras, Brasília - DF, 71938-000",olimpodf.com.br,(61) 3547-6700,,,No,No,No,,,None Found
Escola SEB Brasília,"SGAS I SGAS 914 - Asa Sul, Brasília - DF, 70390-140",brasilia.escolaseb.com.br,(61) 3878-4100,,,No,No,No,,,None Found
Escola Eleva Brasilia,"SGAS II SGAS 614 - Asa Sul, Brasília - DF, 70200-740",escolaeleva.com.br,(61) 3521-5334,,,No,No,No,,,None Found
